epoch,accuracy,loss,val_accuracy,val_loss
0,0.4000000059604645,1.3127645254135132,0.359375,1.2996519804000854
1,0.3711340129375458,1.2691570520401,0.5104166865348816,1.267143964767456
2,0.4467353820800781,1.2466003894805908,0.5,1.240071415901184
3,0.43986254930496216,1.2257685661315918,0.53125,1.248576045036316
4,0.4625000059604645,1.2719213962554932,0.5,1.249141812324524
5,0.512499988079071,1.244106411933899,0.5364583134651184,1.237900733947754
6,0.59375,1.211950659751892,0.546875,1.2292920351028442
7,0.5670102834701538,1.2248237133026123,0.5208333134651184,1.2332013845443726
8,0.621874988079071,1.1686670780181885,0.5677083134651184,1.2082045078277588
9,0.612500011920929,1.1926177740097046,0.546875,1.2074480056762695
